sequence_id,source_name,namespace,role,is_complete_sequence,is_short_clip,location_family,availability,local_alias,data_type,file_sha256,metadata_record_sha256,size_bytes,prior_use,day13_evaluation_overlap,scientific_label_status,eligible_as_ground_truth_label,eligible_for_auroc_label,run_authorized,selection_basis,notes
avia_quick_shack,FAST_LIO2_AVIA_EXAMPLES,QUICK,DEGENERATE,true,false,avia_quick_shack_family,LOCAL,$FASTLIO2_WS/bags/2020-09-16-quick-shack.bag,ROS1 bag,05a56e75898f952766f136d1e5db64a35d202e990e3b1052558369d8384d7ffe,,227829516,FAST-LIO2 replay before Day 1,false,UNVERIFIED,false,false,false,FIXED_APPROVAL,Engineering role only; not a scientific or AUROC label.
avia_outdoor_run_100hz,FAST_LIO2_AVIA_EXAMPLES,QUICK,CONTROL,true,false,avia_outdoor_run_family,LOCAL,$FASTLIO2_WS/bags/outdoor_run_100Hz_2020-12-27-17-12-19.bag,ROS1 bag,13bde5d88ce054d88904873e924e2619153efdf5b63df7f3bbab4f16eb72a253,,2055207092,FAST-LIO2 replay before Day 1,false,UNVERIFIED,false,false,false,FIXED_APPROVAL,Engineering role only; not a scientific or AUROC label.
avia_mainbuilding_100hz,FAST_LIO2_AVIA_EXAMPLES,DEVELOPMENT,DEGENERATE,true,false,avia_hku_mainbuilding_family,LOCAL,$FASTLIO2_WS/bags/outdoor_Mainbuilding_100Hz_2020-12-24-16-46-29.bag,ROS1 bag,583157ac009286374b5c1648fd11f42ec755525d43fe34f62de187c8ffde5a73,,543469111,FAST-LIO2 replay before Day 1,false,UNVERIFIED,false,false,false,FIXED_APPROVAL,Kept with all HKU main-building family sequences.
avia_mainbuilding_10hz,FAST_LIO2_AVIA_EXAMPLES,DEVELOPMENT,DEGENERATE,true,false,avia_hku_mainbuilding_family,LOCAL,$FASTLIO2_WS/bags/outdoor_Mainbuilding_10hz_2020-12-24-16-38-00.bag,ROS1 bag,e2a96b36a494360d61d1f066b6ac0a385aca346e614cd54b7fc5706a8e3d62e4,,656040517,FAST-LIO2 replay before Day 1,false,UNVERIFIED,false,false,false,FIXED_APPROVAL,Kept with all HKU main-building family sequences.
avia_hku_mb,FAST_LIO2_AVIA_EXAMPLES,DEVELOPMENT,DEGENERATE,true,false,avia_hku_mainbuilding_family,LOCAL,$FASTLIO2_WS/bags/HKU_MB_2020-09-20-13-34-51.bag,ROS1 bag,5d56e3fde2dc94db682411c1f8d7cda6c2bcdcbd89a92b76971f51670c9df3e6,,1208684903,FAST-LIO2 replay before Day 1,false,UNVERIFIED,false,false,false,FIXED_APPROVAL,Kept with all HKU main-building family sequences.
NTU_VIRAL__eee_03,NTU_VIRAL,DEVELOPMENT,CONTROL,true,false,ntu_eee,LOCAL,_data/day7_minimal_samples/ntu_viral/eee_03/eee_03.bag,ROS1 bag,1539fdbe89487ffdff543afad9e58971c4334c679d474cbdfc3bd378d31507c8,0d7e9c71a291a51d55228fb9a414fe7c55c15ed1cfaf3f0ea03a58ec8058e037,4261528188,Day 7 checksum and replay probe only,false,UNVERIFIED,false,false,false,FIXED_APPROVAL,Verified adapter input and position-only reference; engineering control role is not scientific truth.
HELIPR__Roundabout01,HELIPR,DEVELOPMENT,CONTROL,true,false,helipr_roundabout,METADATA_ONLY,,metadata_record,,ea3c38098ba07b990716a6a93e5fd7c3089f6b69c3f55596167b903ad8526e9c,,No local payload,false,UNVERIFIED,false,false,false,DETERMINISTIC_DAY6_FALLBACK,First eligible extra control under source-name and sequence-ID ordering.
MUN_FRL__Lighthouse_benchmarking_bag,MUN_FRL,DEVELOPMENT,AUXILIARY,true,false,mun_dji_lighthouse,LOCAL,_data/day7_minimal_samples/mun_frl/lighthouse_francis_sample.bag,ROS1 bag,562bafc57dab7fdac3d8959cf6836b3f4508c4fa60147b11d718552180543162,249beebc47c5c7845e00b95e77793ec295440b14e3540ba06c8336559ea30b92,3812769470,Day 7 checksum and replay probe only,false,UNVERIFIED,false,false,false,FIXED_APPROVAL,Auxiliary adapter engineering check; excluded from scientific control and degenerate counts.
HELIPR__Bridge02,HELIPR,HOLDOUT_DEV,DEGENERATE,true,false,helipr_bridge,METADATA_ONLY,,metadata_record,,eaf3e4cc5c3c45cd74425c8f319c4262d50c8c8ea19ca1d88ea955d6829ceb14,,No local payload,false,UNVERIFIED,false,false,false,DETERMINISTIC_DAY6_FALLBACK,Holdout execution remains unauthorized.
M2DGR__room_01,M2DGR,HOLDOUT_DEV,CONTROL,true,false,m2dgr_room,METADATA_ONLY,,metadata_record,,a24a281ebf78a81f2572377116963fd56a9ae1746b79b4b363a1f6d927aa26a9,,No local payload,false,UNVERIFIED,false,false,false,DETERMINISTIC_DAY6_FALLBACK,Holdout execution remains unauthorized.
HELIPR__Town02,HELIPR,FUTURE_TEST,DEGENERATE,true,false,helipr_town,METADATA_ONLY,,metadata_record,,c664011d137978c3bca76f81c48faeb81487f855920faab8c5370912667bb112,,No local payload,false,UNVERIFIED,false,false,false,DETERMINISTIC_DAY6_FALLBACK,Future Test is sealed and has run count zero.
HILTI_2021__Basement,HILTI_2021,FUTURE_TEST,DEGENERATE,true,false,hilti_basement,METADATA_ONLY,,metadata_record,,d23cd05c3cb7f264b5a200afa6c18ced3ed487a4f0bc248cf52b5280f82085ae,,No local payload,false,UNVERIFIED,false,false,false,DETERMINISTIC_DAY6_FALLBACK,Same Hilti basement family remains wholly inside Future Test.
