formula_id,paragraph_id,section,flattened_omml_text,recognized_variables,preceding_paragraph_preview,following_paragraph_preview,omml_element,omml_xml_bytes,omml_xml_sha256,parse_status
M001,P060,2.2.1 系统组成、坐标系和输入,{W},W,移动载体搭载激光雷达和惯性测量单元。系统至少包括：激光点云采集模块、惯性传播模块、局部地图及对应构建模块、退化检测与弱方向识别模块以及诊断结果输出模块。,本发明只对六自由度位姿扰动块进行退化分析，其扰动顺序定义为：,oMath,1826,84c6025868bb7eb4ec8026cc155c8ec33c49e50dfc1ef3ab6b355894a83c47f7,FORMULA_PARSE_PARTIAL
M002,P060,2.2.1 系统组成、坐标系和输入,{I},I,移动载体搭载激光雷达和惯性测量单元。系统至少包括：激光点云采集模块、惯性传播模块、局部地图及对应构建模块、退化检测与弱方向识别模块以及诊断结果输出模块。,本发明只对六自由度位姿扰动块进行退化分析，其扰动顺序定义为：,oMath,1826,26137813df03114280058c5c9d8d022cb839a1404d7e54d1ca20b01edde3e355,FORMULA_PARSE_PARTIAL
M003,P060,2.2.1 系统组成、坐标系和输入,{L},L,移动载体搭载激光雷达和惯性测量单元。系统至少包括：激光点云采集模块、惯性传播模块、局部地图及对应构建模块、退化检测与弱方向识别模块以及诊断结果输出模块。,本发明只对六自由度位姿扰动块进行退化分析，其扰动顺序定义为：,oMath,1826,f9f4251cc93168e3f520f915a3b38cd4c1a08702126f6012aa4c3dc8184b744d,FORMULA_PARSE_PARTIAL
M004,P060,2.2.1 系统组成、坐标系和输入,"RIL,tIL",RIL;tIL,移动载体搭载激光雷达和惯性测量单元。系统至少包括：激光点云采集模块、惯性传播模块、局部地图及对应构建模块、退化检测与弱方向识别模块以及诊断结果输出模块。,本发明只对六自由度位姿扰动块进行退化分析，其扰动顺序定义为：,oMath,3908,b592c620a9a5b5701245a5ac0ab15f038bd7936e0a18de227b0f7761e76ae4ba,FORMULA_PARSE_PARTIAL
M005,P060,2.2.1 系统组成、坐标系和输入,k,k,移动载体搭载激光雷达和惯性测量单元。系统至少包括：激光点云采集模块、惯性传播模块、局部地图及对应构建模块、退化检测与弱方向识别模块以及诊断结果输出模块。,本发明只对六自由度位姿扰动块进行退化分析，其扰动顺序定义为：,oMath,1386,86dfa879703dadc7c97370dfc99f1366615a1f4813f4faad4a8db128a8832209,FORMULA_PARSE_PARTIAL
M006,P060,2.2.1 系统组成、坐标系和输入,"Rk−,tk−",Rk;tk,移动载体搭载激光雷达和惯性测量单元。系统至少包括：激光点云采集模块、惯性传播模块、局部地图及对应构建模块、退化检测与弱方向识别模块以及诊断结果输出模块。,本发明只对六自由度位姿扰动块进行退化分析，其扰动顺序定义为：,oMath,4774,6b13c1f0f105c9ac95f4b7c92c77efc0ca629d6c9fa11131a0aae2fb12623235,FORMULA_PARSE_PARTIAL
M007,P060,2.2.1 系统组成、坐标系和输入,"ni,k",k;ni,移动载体搭载激光雷达和惯性测量单元。系统至少包括：激光点云采集模块、惯性传播模块、局部地图及对应构建模块、退化检测与弱方向识别模块以及诊断结果输出模块。,本发明只对六自由度位姿扰动块进行退化分析，其扰动顺序定义为：,oMath,2640,369ef9c1fef694f1996086035cf930ce1e68245e1516328c349f6c932e2dae3b,FORMULA_PARSE_PARTIAL
M008,P060,2.2.1 系统组成、坐标系和输入,"qi,k",k;qi,移动载体搭载激光雷达和惯性测量单元。系统至少包括：激光点云采集模块、惯性传播模块、局部地图及对应构建模块、退化检测与弱方向识别模块以及诊断结果输出模块。,本发明只对六自由度位姿扰动块进行退化分析，其扰动顺序定义为：,oMath,2640,ca891b1fd5624df1cd6a95180126e7e364c20ec4a911680a2f13cde7471cc92e,FORMULA_PARSE_PARTIAL
M009,P062,2.2.1 系统组成、坐标系和输入,"δxp,k=δθkδpk∈ℝ6,",k;δxp;δθkδpk,本发明只对六自由度位姿扰动块进行退化分析，其扰动顺序定义为：,其中，δθk∈ℝ3 为旋转扰动，δpk∈ℝ3 为平移扰动。速度、惯性偏置等其他状态可以由基础激光惯性估计器维护，但不直接混入本发明的三维平移谱方向定义。,oMath,8216,c6b5a3dc3baab3bc76709b5e2e5537a5d8bded62647df2978d2b1d899d981be0,FORMULA_PARSE_PARTIAL
M010,P063,2.2.1 系统组成、坐标系和输入,δθk∈ℝ3,δθk,"δxp,k=δθkδpk∈ℝ6,",2.2.2 S101：数据同步、去畸变与有效对应筛选,oMath,3692,c83a39be925aea5a0b2611a323173678c45a02c1251cee7c21a5f6bdf26b2150,FORMULA_PARSE_PARTIAL
