case,expected_classification,observed_classification,accepted,expected_classification_match,backend_invocation_count,actual,expected,detail
snapshot_id_not_found,SNAPSHOT_PLAN_ID_NOT_FOUND,SNAPSHOT_PLAN_ID_NOT_FOUND,False,True,0,"""qualification-no-correspondence-v1""","""one canonical snapshot row""",SNAPSHOT_PLAN_ID_NOT_FOUND: trial references no canonical snapshot row
duplicate_snapshot_id,DUPLICATE_SNAPSHOT_PLAN_ID,DUPLICATE_SNAPSHOT_PLAN_ID,False,True,0,"""qualification-identity-v1""","""unique planned_snapshot_id""",DUPLICATE_SNAPSHOT_PLAN_ID: canonical snapshot index contains a duplicate key
scene_mismatch,TRIAL_SNAPSHOT_SCENE_MISMATCH,TRIAL_SNAPSHOT_SCENE_MISMATCH,False,True,0,"{""type"":""str"",""value"":""NO_CORRESPONDENCE""}","{""type"":""str"",""value"":""IDENTITY""}",TRIAL_SNAPSHOT_SCENE_MISMATCH: trial and snapshot shared identity differ
condition_mismatch,TRIAL_SNAPSHOT_CONDITION_MISMATCH,TRIAL_SNAPSHOT_CONDITION_MISMATCH,False,True,0,"{""type"":""str"",""value"":""FIXTURE_NONIDENTITY_REFERENCE""}","{""type"":""str"",""value"":""FIXTURE_IDENTITY""}",TRIAL_SNAPSHOT_CONDITION_MISMATCH: trial and snapshot shared identity differ
geometry_seed_mismatch,TRIAL_SNAPSHOT_GEOMETRY_SEED_MISMATCH,TRIAL_SNAPSHOT_GEOMETRY_SEED_MISMATCH,False,True,0,"{""type"":""str"",""value"":""FIXTURE_B""}","{""type"":""str"",""value"":""FIXTURE_A""}",TRIAL_SNAPSHOT_GEOMETRY_SEED_MISMATCH: trial and snapshot shared identity differ
measurement_seed_mismatch,TRIAL_SNAPSHOT_MEASUREMENT_SEED_MISMATCH,TRIAL_SNAPSHOT_MEASUREMENT_SEED_MISMATCH,False,True,0,"{""type"":""str"",""value"":""FIXTURE_M1""}","{""type"":""str"",""value"":""FIXTURE_M0""}",TRIAL_SNAPSHOT_MEASUREMENT_SEED_MISMATCH: trial and snapshot shared identity differ
repeat_mismatch,TRIAL_SNAPSHOT_REPEAT_MISMATCH,TRIAL_SNAPSHOT_REPEAT_MISMATCH,False,True,0,"{""type"":""int"",""value"":1}","{""type"":""int"",""value"":0}",TRIAL_SNAPSHOT_REPEAT_MISMATCH: trial and snapshot shared identity differ
other_shared_field_mismatch,TRIAL_SNAPSHOT_SHARED_IDENTITY_MISMATCH,TRIAL_SNAPSHOT_SHARED_IDENTITY_MISMATCH,False,True,0,"{""type"":""str"",""value"":""fixture-v2""}","{""type"":""str"",""value"":""fixture-v1""}",TRIAL_SNAPSHOT_SHARED_IDENTITY_MISMATCH: trial and snapshot shared identity differ
snapshot_missing_snapshot_only_field,SNAPSHOT_ROW_VALIDATION_FAILURE,SNAPSHOT_ROW_VALIDATION_FAILURE,False,True,0,"[""condition"",""geometry_seed"",""measurement_seed"",""planned_snapshot_id"",""repeat_index"",""replicate_semantics"",""scene_variant""]","[""condition"",""geometry_seed"",""measurement_seed"",""planned_backend_count"",""planned_snapshot_id"",""repeat_index"",""replicate_semantics"",""scene_variant""]",SNAPSHOT_ROW_VALIDATION_FAILURE: snapshot_row[0] differs from the exact bridge schema
trial_missing_trial_only_field,TRIAL_ROW_VALIDATION_FAILURE,TRIAL_ROW_VALIDATION_FAILURE,False,True,0,"[""condition"",""geometry_seed"",""measurement_seed"",""planned_snapshot_id"",""planned_trial_id"",""repeat_index"",""scene_variant""]","[""backend"",""condition"",""geometry_seed"",""measurement_seed"",""planned_snapshot_id"",""planned_trial_id"",""repeat_index"",""scene_variant""]",TRIAL_ROW_VALIDATION_FAILURE: trial_row differs from the exact bridge schema
illegal_backend,TRIAL_ROW_VALIDATION_FAILURE,TRIAL_ROW_VALIDATION_FAILURE,False,True,0,"""ValueError""","""injected validator acceptance""",TRIAL_ROW_VALIDATION_FAILURE: trial_row failed the injected validator
corrupt_snapshot,SNAPSHOT_AUTHENTICATION_FAILURE,SNAPSHOT_AUTHENTICATION_FAILURE,False,True,0,"{""detail"":""v3 snapshot array-file SHA mismatch"",""exception_type"":""V3SnapshotContractError""}","""authenticated snapshot""",v3 snapshot array-file SHA mismatch
snapshot_checksum_mismatch,SNAPSHOT_AUTHENTICATION_FAILURE,SNAPSHOT_AUTHENTICATION_FAILURE,False,True,0,"{""detail"":""v3 snapshot lock payload mismatch"",""exception_type"":""V3SnapshotContractError""}","""authenticated snapshot""",v3 snapshot lock payload mismatch
open3d_pcl_different_snapshot,TRIAL_SNAPSHOT_SHARED_IDENTITY_MISMATCH,TRIAL_SNAPSHOT_SHARED_IDENTITY_MISMATCH,False,True,0,"{""qualification-identity-v1"":[""open3d_point_to_plane""],""qualification-nonidentity-reference-v1"":[""pcl_point_to_plane""]}","[""open3d_point_to_plane"",""pcl_point_to_plane""]",TRIAL_SNAPSHOT_SHARED_IDENTITY_MISMATCH: snapshot backend pairing is incomplete or inconsistent
formal_mode_with_qualification_contract,EXECUTION_CONTEXT_MODE_MISMATCH,EXECUTION_CONTEXT_MODE_MISMATCH,False,True,0,"""FORMAL""","""QUALIFICATION""",EXECUTION_CONTEXT_MODE_MISMATCH: mode differs from the injected contract
qualification_mode_with_formal_contract,EXECUTION_CONTEXT_MODE_MISMATCH,EXECUTION_CONTEXT_MODE_MISMATCH,False,True,0,"""QUALIFICATION""","""FORMAL""",EXECUTION_CONTEXT_MODE_MISMATCH: mode differs from the injected contract
