trace_id,patent_section,patent_paragraph,patent_formula,technical_meaning,source_file,source_symbol,source_line_range,implementation_status,config_file,config_key,config_value,parameter_role,test_file,test_name,test_status,artifact_path,artifact_conclusion,evidence_level,consistency_status,issue_level,issue_description,recommended_action
"F01","2.2.3 S102","P069-P077","r0=n^T(R^- p^I+t^--q)","Point-to-plane residual evaluated at the current pose prior","src/minibench/map_lio.py","linearize_point_to_plane","20-43","Implemented in Stage 2C; Stage 2A formal observations use synthetic precomputed Jacobians","configs/update/stage2c_common.yaml","lidar_update_iterations","1","Freeze one prior relinearization per frame","tests/test_prior_relinearization.py","test_point_to_plane_is_relinearized_at_prior_pose","PASS","artifacts/current/weak_update_stage2c/test_manifest.json","Stage 2C ran a prior-relinearized synthetic estimator but failed its update performance gate","UNIT+INTEGRATION+NEGATIVE_FORMAL","PARTIAL_MATCH","P1","Stage 2C adds stored base measurement noise to the geometric residual; the Stage 2A detector-pass artifact is based on synthetic Jacobians generated at the synthetic sensor pose, not a real online LIO prior/correspondence pipeline.","Keep the base-noise term explicit in the embodiment and limit formal evidence to synthetic/current-prior code; do not imply real LIO integration."
"F02","2.2.3 S102","P071-P076","J=[n^T(-R[p]_x),n^T] with state [dtheta,dp]","Six-DoF pose Jacobian with rotation first and translation second","src/minibench/map_lio.py; src/minibench/observation_simulator.py","linearize_point_to_plane; compute_point_to_plane_jacobian","20-43; 194-200","Implemented","configs/detector/odi_stage2a.yaml","s_theta; s_p","0.05; 0.5","Scales the rotation-first/translation-second state blocks","tests/test_observation_simulator.py","test_point_to_plane_jacobian_shape_and_translation_block","PASS","artifacts/current/detector_stage2a/test_manifest.json","Detector engineering and mechanism gates passed","UNIT+FORMAL","EXACT_MATCH","P1","The formula matches a right rotational perturbation plus world-frame additive translation, but the patent does not explicitly name that perturbation convention.","State explicitly that R is right-perturbed and translation is updated additively in the world frame."
"F03","2.2.4 S103","P078-P085","z=r/sigma; omega_H; gamma=omega/sigma^2","Separate sensor-noise whitening from optional Huber robust weighting","src/degen_detector/whitened_info.py; src/minibench/update_strategies.py","compute_H_tilde; huber_weights; build_robust_linear_system","10-37; 31-77","Noise whitening is in the detector; Huber whitening is in the Stage 2C updater, not the detector","configs/update/stage2c_common.yaml","huber_delta_sigma","2.5","Updater-only Huber threshold","tests/test_robust_linear_system.py","test_whitened_system_matches_direct_huber_normal_equation","PASS","artifacts/current/weak_update_stage2c/test_manifest.json","Formulation passed but projected-gain performance failed","UNIT+NEGATIVE_FORMAL","PARTIAL_MATCH","P1","The patent overview can be read as putting Huber weights into the detector information matrix. Frozen detector code receives J and R_diag only; Huber weights belong to a separate updater normal equation.","Describe omega=1 as the implemented detector embodiment and keep robust detector weighting as an optional, unvalidated dependent embodiment."
"F04","2.2.5 S104","P086-P096","D=diag(s_theta I3,s_p I3); delta_x=D xi","Normalize rotation/translation state scales by right-multiplying the Jacobian","src/degen_detector/whitened_info.py","compute_H_tilde","10-37","Implemented by D construction and J @ D","configs/detector/odi_stage2a.yaml","s_theta; s_p","0.05 rad; 0.5 m","Frozen example state scales","tests/test_whitened_info.py","test_formula_contract_contains_whitened_pose_block; test_compute_H_tilde_is_symmetric_psd","PASS","artifacts/current/detector_stage2a/test_manifest.json","Source/config hashes and detector engineering gate passed","UNIT+PROPERTY+FORMAL","EXACT_MATCH","NONE","Patent correctly uses Jacobian right multiplication and labels the values as examples rather than universal constants.","Retain the right-multiplication wording and example-value limitation."
"F05","2.2.5 S104","P092-P096","H=(J D)^T Gamma (J D)","Six-dimensional scale-consistent whitened detector information","src/degen_detector/whitened_info.py; src/minibench/update_strategies.py","compute_H_tilde; build_robust_linear_system","10-37; 51-77","Detector H uses Gamma=diag(1/R_diag); updater H uses Huber precision but no detector state scale D","configs/detector/odi_stage2a.yaml","s_theta; s_p","0.05; 0.5","Detector state normalization","tests/test_whitened_info.py; tests/test_robust_linear_system.py","test_compute_H_tilde_is_symmetric_psd; test_whitened_system_matches_direct_huber_normal_equation","PASS","artifacts/current/detector_stage2a/test_manifest.json","Detector passed; no artifact establishes a Huber-weighted detector H","UNIT+PROPERTY+FORMAL","PARTIAL_MATCH","P1","The detector information and Stage 2C update normal equation are distinct matrices. Combining both in one patent sentence risks claiming an implementation that is not frozen.","Separate detector H (variance whitening plus D) from updater H (Huber whitening without D); do not call them the same normal equation."
"F06","2.2.6 S105","P097-P106","H_t_raw=H_pp-H_pθ(H_θθ+mu I)^-1H_θp","Damped Schur marginalization of rotation","src/degen_detector/whitened_info.py","compute_translation_schur_info","85-111","Implemented with np.linalg.solve, symmetry restoration, PSD tolerance, rejection, and roundoff clipping","configs/detector/odi_stage2a.yaml","translation_schur_damping_ratio","1.0e-6","mu ratio multiplying max(max diag, trace/3, 1)","tests/test_translation_schur_info.py","test_translation_schur_matches_block_formula","PASS","artifacts/current/detector_stage2a/test_manifest.json","Mechanism and detector gates passed with locked Schur configuration","DIRECT_UNIT+PROPERTY+FORMAL","EXACT_MATCH","NONE","The implementation uses the full Schur complement rather than H_pp, uses a solver rather than explicit inverse, symmetrizes, rejects material negative eigenvalues, and clips only roundoff negatives.","Retain the formula and numerical safeguards."
"F07","2.2.7 S106","P107-P112","N_eff=(sum gamma)^2/sum gamma^2","Effective measurement count under nonuniform information weights","src/degen_detector/whitened_info.py","compute_effective_sample_size","114-121","Implemented with gamma=1/R_diag only","configs/detector/odi_stage2a.yaml","point_noise_std_m","0.02 m","Produces equal detector variances in the locked Stage 2A example","tests/test_translation_schur_info.py","test_effective_sample_normalization","PASS","artifacts/current/detector_stage2a/test_manifest.json","Observation mechanism used effective-sample normalization","UNIT+FORMAL","PARTIAL_MATCH","P1","Code does not accept residual or Huber weights in N_eff; it equals the patent formula only for the implemented omega=1 detector case. Positive/nonempty validation replaces an explicit epsilon denominator guard.","Limit the implemented formula to inverse-variance weights and identify robust-weight N_eff as optional/unvalidated."
"F08","2.2.7 S106","P110-P112","H_t=H_t_raw/N_eff","Normalize translation information for cross-frame comparison","src/degen_detector/whitened_info.py; src/degen_detector/odi_tracker.py","normalize_information_matrix; compute_metrics_for_frame","124-130; 92-103","Implemented","configs/redesign/detector_stage2a_common.yaml","analysis.primary_metric","ODI_trans","Uses normalized translation spectrum as primary detector input","tests/test_translation_schur_info.py","test_effective_sample_normalization","PASS","artifacts/current/detector_stage2a/test_manifest.json","Observation mechanism and detector gates passed","UNIT+FORMAL","EXACT_MATCH","P1","The formula has a unit test, but there is no direct regression proving invariance when an identical measurement set is duplicated/scaled in point count.","Add that missing property test only in a later authorized testing task; do not alter the formula today."
"F09","2.2.8 S106","P113-P119","lambda1>=lambda2>=lambda3; U=[u1,u2,u3]","Bind descending eigenvalue order to eigenvector columns","src/degen_detector/whitened_info.py","eigen_decompose","40-47","Implemented by eigh followed by explicit descending argsort","configs/detector/odi_stage2a.yaml","epsilon_mode","relative_trace","Downstream spectrum configuration","tests/test_weak_direction.py","test_artificial_H_extracts_x_translation_as_weak_direction","PASS (indirect)","artifacts/current/detector_stage2a/test_manifest.json","Direction gate passed","INDIRECT_UNIT+FORMAL","EXACT_MATCH","P1","No direct regression asserts eigen_decompose returns descending values and correspondingly reordered columns; existing tests exercise it indirectly.","Add a direct sorting/index-binding test in a later authorized test-only task."
"F10","2.2.9 S107","P120-P130","p_i=(lambda_i+epsilon)/sum; r_eff=exp(-sum p ln p); ODI=1-(r_eff-1)/2","Three-dimensional translation spectral effective-rank degeneracy index","src/degen_detector/odi_tracker.py; src/degen_detector/whitened_info.py","compute_effective_rank; compute_ODI; compute_epsilon","34-49; 163-170","Implemented on the three translation eigenvalues; result clipped to [0,1]","configs/detector/odi_stage2a.yaml","epsilon_mode; epsilon_ratio","relative_trace; 1.0e-6","Relative regularizer and implementation floor","tests/test_odi_tracker.py","test_isotropic_eigenvalues_have_low_ODI; test_rank_one_dominant_spectrum_has_high_ODI; test_condition_number_can_explode_but_ODI_remains_finite","PASS","artifacts/current/detector_stage2a/detector_stage2a_gate_report.md","ODI detector passed both controlled sweeps","DIRECT_UNIT+PROPERTY+FORMAL","EQUIVALENT_IMPLEMENTATION","P1","Code implements epsilon=max(trace(H_t)/3*ratio, ratio), effectively reusing epsilon_ratio as the absolute floor; the patent names a separate epsilon_a but does not give its implementation value. Clipping is an additional safe guard.","Disclose that the frozen embodiment sets epsilon_a equal to 1e-6, or state the exact implementation parameterization."
