claim_id,file_path,matched_text,context_type,is_positive_assertion,allowed_as_boundary_text,status,reason
CL0001,README.md,line 4: It is not a validated Degen-LIO estimator method.,negated_or_unvalidated_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0002,README.md,line 29: - It does not provide a validated Degen-LIO estimator method.,boundary_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0003,README.md,line 31: - It does not claim toy_lio is real LIO.,boundary_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0004,docs/paper/diagnostic_benchmark_paper_skeleton.md,line 248: - ODI robustly predicts drift: Do not use this robust ODI wording.,boundary_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0005,docs/paper/diagnostic_benchmark_paper_skeleton.md,"line 3: This paper is positioned as a diagnostic benchmark / failure-analysis contribution, not a validated Degen-LIO estimator method.",negated_or_unvalidated_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0006,docs/paper/diagnostic_benchmark_paper_skeleton.md,line 250: - Degen-LIO estimator method is validated: Do not present an estimator method as validated.,boundary_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0007,docs/paper/diagnostic_benchmark_paper_skeleton.md,line 251: - weak-subspace update is authorized: Do not implement or claim update authorization.,boundary_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0008,docs/paper/diagnostic_benchmark_paper_skeleton.md,line 249: - ODI is superior to AIS/lambda_min: Do not claim ODI superiority.,boundary_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0009,docs/paper/generated_tables/T07_claim_boundary.md,"line 9: | CB01 | ODI robustly predicts drift | forbidden | ODI remains exploratory in this benchmark. | Do not use this robust ODI wording. | nowhere | title, abstract, conclusion, contribution list | Day19-21 negative validatio",boundary_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0010,docs/paper/generated_tables/T07_claim_boundary.md,"line 11: | CB03 | Degen-LIO estimator method is validated | forbidden | The package does not validate a Degen-LIO estimator method. | Do not present an estimator method as validated. | limitations only | title, contribution list,",boundary_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0011,docs/paper/generated_tables/T07_claim_boundary.md,line 12: | CB04 | weak-subspace update is authorized | forbidden | Weak-subspace update remains unauthorized. | Do not implement or claim update authorization. | gate review only | method section | Day21/22 weak_update_authorized,boundary_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0012,docs/paper/generated_tables/T07_claim_boundary.md,"line 10: | CB02 | ODI is superior to AIS/lambda_min | forbidden | ODI should be reported beside AIS, lambda_min_clamped, and condition_number. | Do not claim ODI superiority. | comparison limitations | abstract and conclusion | D",boundary_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0013,docs/paper/readme_scope_update_plan.md,line 5: | Project scope | State that this is a diagnostic benchmark / failure-analysis package. | prevents method overclaiming | This repository provides a reproducible diagnostic benchmark for LIO degeneracy analysis. | Do not ,boundary_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0014,docs/release/day30_final_release_notes.md,line 6: It is not a validated Degen-LIO estimator method.,negated_or_unvalidated_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0015,docs/release/day30_final_release_notes.md,line 16: - Do not claim a validated Degen-LIO estimator method.,boundary_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0016,docs/release/release_scope.md,"line 5: It is not a validated Degen-LIO estimator method, and it does not authorize weak-subspace update implementation.",negated_or_unvalidated_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0017,reports/day11_report.md,"line 104: Do not write ""ODI robustly predicts drift"" based on the current toy probe.",negated_or_unvalidated_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0018,reports/day14_go_nogo_report.md,"line 7: This is a GO only for preserving the Day 1-14 synthetic diagnostic package and for continuing with a reduced claim. It is **not** a GO for claiming that ODI robustly predicts drift, and it is not a GO for paper-level mai",negated_or_unvalidated_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0019,reports/day14_go_nogo_report.md,line 49: - ODI robustly predicts drift.,boundary_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0020,reports/day24_diagnostic_consolidation_report.md,"line 31: The current evidence supports a reproducible diagnostic package with explicit claim boundaries, not a validated Degen-LIO estimator method.",negated_or_unvalidated_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0021,reports/day25_paper_outline_report.md,"line 60: The paper should be positioned as a diagnostic benchmark / failure-analysis contribution, not a validated Degen-LIO estimator method.",negated_or_unvalidated_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0022,reports/day26_paper_skeleton_report.md,"line 6: - 论文定位是什么？The project remains a diagnostic benchmark package, not a validated Degen-LIO estimator method.",negated_or_unvalidated_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0023,reports/day26_paper_skeleton_report.md,"line 18: The project remains a diagnostic benchmark package, not a validated Degen-LIO estimator method.",negated_or_unvalidated_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0024,reports/day27_release_cleanup_report.md,"line 16: The repository remains a diagnostic benchmark / failure-analysis package, not a validated Degen-LIO estimator method.",negated_or_unvalidated_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0025,reports/day28_figure_table_generation_report.md,"line 17: The repository remains a diagnostic benchmark / failure-analysis package, not a validated Degen-LIO estimator method.",negated_or_unvalidated_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0026,reports/day29_safe_figures_report.md,"line 17: The repository remains a diagnostic benchmark / failure-analysis package, not a validated Degen-LIO estimator method.",negated_or_unvalidated_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0027,reports/day30_final_package_review.md,line 7: - 当前是否是 validated Degen-LIO estimator method？No. The project is not a validated Degen-LIO estimator method.,boundary_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
CL0028,reports/day30_final_package_review.md,line 26: The project is not a validated Degen-LIO estimator method.,negated_or_unvalidated_text,false,true,pass_with_context,phrase is negated or used as explicit claim-boundary text
