source_id,dataset_id,source_type,title,url,source_checked_date,fields_supported,evidence_quality,access_result,notes
S001,subt_mrs,official_lab_page,SubT-MRS project page,https://sairlab.org/subtmrs/,2026-07-15,"scope; scenes; platforms; modalities; paper",HIGH,ACCESSIBLE,"Official Spatial AI and Robotics Lab page."
S002,subt_mrs,official_data_page,SubT-MRS challenge and downloads,https://superodometry.com/iccv23_challenge_Mul,2026-07-15,"format; synchronization; sequence names; downloads; calibration; GT",HIGH,ACCESSIBLE,"License text was not found on the audited official page."
S003,subt_mrs,formal_paper,CVPR 2024 paper,https://openaccess.thecvf.com/content/CVPR2024/html/Zhao_SubT-MRS_Dataset_Pushing_SLAM_Towards_All-weather_Environments_CVPR_2024_paper.html,2026-07-15,"dataset design; degraded conditions; evaluation",HIGH,ACCESSIBLE,"Peer-reviewed CVPR record."
S004,hilti_2021,official_dataset_page,Hilti SLAM Challenge Dataset 2021,https://www.hilti-challenge.com/dataset-2021,2026-07-15,"sequences; sizes; format; sync; calibration; GT; license; download",HIGH,ACCESSIBLE,"Official page states CC BY-NC-SA 3.0 and sparse GT semantics."
S005,hilti_2021,formal_paper,The Hilti SLAM Challenge Dataset,https://arxiv.org/abs/2109.11316,2026-07-15,"sensor platform; scenes; GT; benchmark",HIGH,ACCESSIBLE,"Formal dataset manuscript."
S006,newer_college_original,official_dataset_page,Newer College stereo-camera LiDAR IMU page,https://ori-drs.github.io/newer-college-dataset/stereo-cam/,2026-07-15,"topics; rates; sequences; raw formats",HIGH,ACCESSIBLE,"Official Oxford Robotics Institute dataset page."
S007,newer_college_original,official_dataset_page,Newer College ground truth and download pages,https://ori-drs.github.io/newer-college-dataset/,2026-07-15,"GT accuracy; scene coverage; citation",HIGH,ACCESSIBLE,"Download uses an official request form."
S008,newer_college_original,official_license_page,Newer College download and licence,https://ori-drs.github.io/newer-college-dataset/download/,2026-07-15,"license; access condition",HIGH,ACCESSIBLE,"CC BY-NC-SA 4.0."
S009,newer_college_original,formal_paper,The Newer College Dataset,https://arxiv.org/abs/2003.05691,2026-07-15,"platform; ground truth; sensor modalities",HIGH,ACCESSIBLE,"IROS dataset paper."
S010,newer_college_multicam,official_dataset_page,Newer College multi-camera extension page,https://ori-drs.github.io/newer-college-dataset/multi-cam/,2026-07-15,"sequences; topics; rates; sensors",HIGH,ACCESSIBLE,"Nine named sequences."
