check_id,check_item,path,status,blocking,reason
DRY31-01,release dry-run checklist exists,docs/release/day31_release_dryrun_checklist.md,pass,true,checklist must exist
DRY31-02,full pytest command documented,docs/release/day31_release_dryrun_checklist.md,pass,true,full local pytest remains a manual gate
DRY31-03,clean archive dry-run command documented,docs/release/day31_release_dryrun_checklist.md,pass,true,dry-run command must be documented
DRY31-04,excluded paths documented,docs/release/day31_release_dryrun_checklist.md,pass,true,cache/repository internals must be excluded
DRY31-05,release helper exists,scripts/release_dryrun.sh,pass,true,release helper must exist
DRY31-06,release helper excludes forbidden paths,scripts/release_dryrun.sh,pass,true,script must use explicit excludes
DRY31-07,release helper requires pytest confirmation,scripts/release_dryrun.sh,pass,true,script must require pytest confirmation before execute mode
DRY31-08,release helper does not run destructive deletion,scripts/release_dryrun.sh,pass,true,script must not delete user files
DRY31-09,method update authorization remains false,results/day30/manifests/day30_final_package_manifest.json,pass,true,Day30 gate must remain closed
DRY31-10,weak update authorization remains false,results/day30/manifests/day30_final_package_manifest.json,pass,true,weak-subspace update remains unauthorized
DRY31-11,full pytest release pass remains manual,docs/release/day31_release_dryrun_checklist.md,manual_required,true,script cannot prove the user's latest local pytest run
DRY31-12,clean archive inspection remains manual,docs/release/day31_release_dryrun_checklist.md,manual_required,true,archive contents require human inspection
CLAIM31-01,forbidden claim audit: ODI robustly predicts drift,dry-run docs/script,pass,true,forbidden wording absent or bounded
CLAIM31-02,forbidden claim audit: validated Degen-LIO estimator,dry-run docs/script,pass,true,forbidden wording absent or bounded
CLAIM31-03,forbidden claim audit: Degen-LIO estimator method is validated,dry-run docs/script,pass,true,forbidden wording absent or bounded
CLAIM31-04,forbidden claim audit: weak-subspace update is authorized,dry-run docs/script,pass,true,forbidden wording absent or bounded
CLAIM31-05,forbidden claim audit: toy_lio is real LIO,dry-run docs/script,pass,true,forbidden wording absent or bounded
