dataset_id,sequence_name,official_environment,approx_size,ground_truth_coverage,degeneration_or_control,location_group,proposed_use,proposed_split,metric_support,blocking_note
subt_mrs,Long_Corridor,"underground long corridor",not_tabulated,full trajectory published,DEGENERATE,subt_hawkins,primary geometry-degeneration development,DEVELOPMENT,"ATE/RPE after GT and frame verification","license and point fields must be cleared before download"
subt_mrs,Multi_Floor,"underground multi-floor",not_tabulated,full trajectory published,DEGENERATE,subt_hawkins,same-site secondary development sequence,DEVELOPMENT,"ATE/RPE after GT and frame verification","same Hawkins group must not cross to validation or reserved test"
subt_mrs,BlockLiDAR,"LiDAR-blocked industrial scene",not_tabulated,full trajectory published,DEGENERATE,subt_mill19,qualitative failure case,DEVELOPMENT,"detection robustness; ATE if coverage confirmed","do not assume blocked intervals retain usable LiDAR"
hilti_2021,Basement,"basement",6 GB,sparse 3DoF control,DEGENERATE,hilti_basement,small format probe,DEVELOPMENT,"checkpoint translation only","not full-trajectory ATE"
hilti_2021,Basement_3,"basement repetitive/featureless",16 GB,sparse 3DoF control,DEGENERATE,hilti_basement,same-site adapter development,DEVELOPMENT,"checkpoint translation only","keep Basement family together"
hilti_2021,Construction_Site_Outdoor_1,"outdoor construction",10 GB,sparse 3DoF control,DEGENERATE,hilti_construction,secondary construction evaluation,DEVELOPMENT,"checkpoint translation only","sparse stationary total-station reference"
newer_college_original,short_experiment,"quad and parkland",not_tabulated,10 Hz 6DoF,CONTROL,ncd_original_college,normal open control development,DEVELOPMENT,"full ATE/RPE",none
newer_college_original,long_experiment,"repeated quad and parkland loops",not_tabulated,10 Hz 6DoF,CONTROL,ncd_original_college,normal long control,VALIDATION,"full ATE/RPE","same site as short; no cross-site leakage claim"
newer_college_original,quad_with_dynamics,"aggressive handheld motion",not_tabulated,verify selected GT revision,DEGENERATE,ncd_original_aggressive,adapter stress case,DEVELOPMENT,"ATE only after GT file confirmation","official update history notes later GT work"
newer_college_multicam,Stairs,"narrow stairway and textureless surfaces",not_tabulated,10 Hz 6DoF,DEGENERATE,ncd_multicam_college,indoor geometry stress,DEVELOPMENT,"full ATE/RPE",none
newer_college_multicam,Cloister,"repetitive corridor and quad",not_tabulated,10 Hz 6DoF,DEGENERATE,ncd_multicam_college,same-location development only,DEVELOPMENT,"full ATE/RPE","same New College group as Stairs/Park"
newer_college_multicam,Park,"large park and quads",not_tabulated,10 Hz 6DoF,CONTROL,ncd_multicam_college,open control,OPEN_CONTROL,"full ATE/RPE","must remain outside difficult-scene threshold tuning"
newer_college_multicam,Maths_Easy,"open large-scale maths institute",not_tabulated,10 Hz 6DoF,CONTROL,ncd_multicam_maths,primary open control,OPEN_CONTROL,"full ATE/RPE","group Maths difficulty variants together"
newer_college_multicam,Maths_Hard,"aggressive motion and textureless surface",not_tabulated,10 Hz 6DoF,DEGENERATE,ncd_multicam_maths,paired evaluation-only diagnostic,OPEN_CONTROL,"full ATE/RPE","not independent from Maths_Easy; never use this group for threshold tuning"
ntu_viral,eee_01,"outdoor central carpark",8.7 GB,20 Hz position,CONTROL,ntu_eee,UAV open control,OPEN_CONTROL,"position ATE; no orientation GT","apply IMU-to-prism offset"
ntu_viral,tnp_01,"inside Research Techno Plaza",8.1 GB,20 Hz position,DEGENERATE,ntu_tnp,UAV indoor geometry stress,DEVELOPMENT,"position ATE; detection metrics","regularize documented Ouster/IMU jitter"
ntu_viral,tnp_03,"inside Research Techno Plaza",5.5 GB,20 Hz position,DEGENERATE,ntu_tnp,same-site UAV development,DEVELOPMENT,"position ATE; detection metrics","same-place tnp family stays together"
m2dgr,room_01,"bright indoor room",14.0 GB,full Vicon,CONTROL,m2dgr_room,smallest high-quality format probe,DEVELOPMENT,"full ATE/RPE",none
m2dgr,room_dark_01,"dark indoor room",20.2 GB,full Vicon,DEGENERATE,m2dgr_roomdark,non-geometric robustness supplement,DEVELOPMENT,"full ATE/RPE","darkness does not itself prove LiDAR geometry degeneration"
m2dgr,hall_02,"indoor hall",15.0 GB,full Leica,DEGENERATE,m2dgr_hall,secondary indoor validation,VALIDATION,"full ATE/RPE",none
m2dgr,street_02,"daytime long urban street",83.2 GB,full RTK/INS,CONTROL,m2dgr_street,open control after basic adapter,OPEN_CONTROL,"full ATE/RPE","large download"
mulran,DCC01,"urban convention district",3.1 GB lidar zipped plus IMU/GPS request,full 6DoF baseline,CONTROL,mulran_dcc,normal urban development,DEVELOPMENT,"full ATE/RPE after frame verification","file-to-bag conversion required"
mulran,KAIST01,"campus urban route",multi_GB,full 6DoF baseline,CONTROL,mulran_kaist,open control,OPEN_CONTROL,"full ATE/RPE after frame verification","not the LiDAR-only ParkingLot sample"
mulran,Riverside01,"riverside urban route",multi_GB,full 6DoF baseline,CONTROL,mulran_riverside,long-term control group,VALIDATION,"full ATE/RPE after frame verification","keep Riverside01/02/03 together"
helipr,Roundabout01,"roundabouts; night",55.27 GB Ouster zipped,per-LiDAR 6DoF,CONTROL,helipr_roundabout,sensor-generalization development,DEVELOPMENT,"full ATE/RPE with INS-derived GT","one-minute sample should be probed first"
helipr,Town02,"narrow alleys; dynamic objects",55.43 GB Ouster zipped,per-LiDAR 6DoF,DEGENERATE,helipr_town,narrow-FOV and dynamic stress,VALIDATION,"full ATE/RPE with INS-derived GT","major adapter and registration"
