check_id,check_item,expected,observed,status,reason
READ31-01,README evidence chain,Evidence Chain Day14-Day30,true,pass,README must summarize through Day30
READ31-02,README Day28 bullet,Day 28: paper-draft table conversion and pending figure planning.,true,pass,Day28 result must be visible
READ31-03,README Day29 bullet,Day 29: real F01/F03 figure generation and table interpretation safeguards.,true,pass,Day29 result must be visible
READ31-04,README Day30 bullet,"Day 30: final package review, artifact audit, claim-boundary audit, and release readiness check.",true,pass,Day30 result must be visible
READ31-05,README Day28 command,python3 scripts/21_day28_figure_table_generation.py --config configs/validation/day28_figure_table_generation.yaml,true,pass,Day28 command required
READ31-06,README Day29 command,python3 scripts/22_day29_safe_figures.py --config configs/validation/day29_safe_figures.yaml,true,pass,Day29 command required
READ31-07,README Day30 command,python3 scripts/23_day30_final_package_review.py --config configs/validation/day30_final_package_review.yaml,true,pass,Day30 command required
REL31-01,release notes staged reproduction,"For full staged reproduction, run the Day15-Day30 scripts listed in README.",true,pass,release notes must distinguish shortcut from full chain
REL31-02,release notes shortcut caveat,"The short command block below is only a final audit shortcut, not the full chain.",true,pass,release notes must prevent shortcut overclaiming
REL31-03,dry-run checklist exists,/home/lj/Degen-LIO/docs/release/day31_release_dryrun_checklist.md,true,pass,Day31 checklist required
REL31-04,release dry-run helper exists,/home/lj/Degen-LIO/scripts/release_dryrun.sh,true,pass,Day31 helper required
CLAIM31-01,forbidden claim audit: ODI robustly predicts drift,not present as positive assertion,boundary/negated/absent,pass,README/release notes: forbidden claim boundary check
CLAIM31-02,forbidden claim audit: validated Degen-LIO estimator,not present as positive assertion,boundary/negated/absent,pass,README/release notes: forbidden claim boundary check
CLAIM31-03,forbidden claim audit: Degen-LIO estimator method is validated,not present as positive assertion,boundary/negated/absent,pass,README/release notes: forbidden claim boundary check
CLAIM31-04,forbidden claim audit: weak-subspace update is authorized,not present as positive assertion,boundary/negated/absent,pass,README/release notes: forbidden claim boundary check
CLAIM31-05,forbidden claim audit: toy_lio is real LIO,not present as positive assertion,boundary/negated/absent,pass,README/release notes: forbidden claim boundary check
