section_id,section_title,section_goal,key_points,required_evidence,figures_tables,claim_boundary,writing_risk
S01,Introduction,Position the work as diagnostic benchmark / failure analysis,degeneracy matters; previous overclaims are risky; this paper emphasizes reproducible boundaries,Day14 decision and Day24 claim map,"T01, F01",do not imply method validation,overpromising novelty
S02,Related Work,"Connect LIO degeneracy metrics, benchmarks, and reproducible artifacts","observability, information matrices, synthetic benchmarks, failure analysis",literature plus internal claim map,none,avoid claiming a new estimator,missing broader citations
S03,Problem Formulation and Diagnostic Objective,Define diagnostic objective and 6DoF pose-block information scope,pose-block spectrum; weak direction; metric validity as diagnostic target,Day6-9 definitions,"F02, Table P1",diagnostic objective only,too close to method framing
S04,Synthetic Degeneracy Benchmark,Describe OC/ST/CT/RT scenes and reproducibility,"geometry, GT, observations, configs, seeds, manifests",Day14/Day24 artifact inventory,"F01, Table B1",synthetic benchmark only,synthetic-only attack
S05,Whitened Information and Weak-Direction Diagnostics,Show information spectra and weak-axis alignment,spectrum concentration; local-axis alignment; unreliable OC handling,Day9/Day14 figures and tables,"F02, F03","geometry diagnosis, not drift proof",ODI overclaim risk
S06,Bias Audit and Unbiased Toy Probe,Explain legacy bias and unbiased protocol,legacy scene-family bias; all-zero applied bias; multi-trial probe,Day15-17 outputs,"F04, Table B2","toy_lio is a probe, not real LIO",toy_lio attack
S07,Metric Validity Stress Tests,Report Day18-21 validation including negative results,"within-sequence, grouped/LOSO, controlled partial, joint risk",Day18-21 tables,"F05-F08, Tables V1-V4",negative evidence is informative,temptation to hide failures
S08,Go/No-Go Gate and Claim Boundary,Formalize why method update is blocked,Day22 No-Go; Day23/24 Route B; allowed/forbidden claims,Day22-24 tables,"Table G1, Table C1",No-Go is valid outcome,appearing too conservative
S09,Discussion and Limitations,Discuss reviewer risks and future redesign routes,"synthetic-only, toy_lio, metric failure, no estimator update",Day24 risk register,Table R1,future work must remain gated,reviewer skepticism
S10,Reproducibility Package,"List scripts, manifests, release checklist","commands, smoke vs real plots, excluded caches",Day24 checklist and Day25 plan,Table Rep1,artifact reproducibility with scope limits,package hygiene
S11,Conclusion,Conclude diagnostic benchmark contribution with explicit boundaries,benchmark package; negative validity evidence; no method update,Day25 claim boundary,none,no estimator-method conclusion,overclaiming
