item_id,caption_draft,claim_boundary,forbidden_wording,source_artifact,paper_section
T01,Day17 unbiased trial summary across sequences. This item supports diagnostic benchmark interpretation only; Diagnostic benchmark evidence only; do not claim metric validation.,Diagnostic benchmark evidence only; do not claim metric validation.,Do not claim robust ODI drift prediction. Do not claim a validated estimator method. Do not claim weak-subspace update authorization. Do not call toy_lio real LIO. Do not claim joint risk is a validated predictor.,results/day30/tables/day17_unbiased_probe_summary.csv,Bias Audit
T02,Day18 within-sequence validation results. This item supports diagnostic benchmark interpretation only; Diagnostic benchmark evidence only; do not claim robust prediction.,Diagnostic benchmark evidence only; do not claim robust prediction.,Do not claim robust ODI drift prediction. Do not claim a validated estimator method. Do not claim weak-subspace update authorization. Do not call toy_lio real LIO. Do not claim joint risk is a validated predictor.,results/day30/tables/day18_sequence_validity_summary.csv,Metric Validity Stress Tests
T03,Day19 grouped / LOSO summary. This item supports diagnostic benchmark interpretation only; Diagnostic benchmark evidence only; do not claim generalized validity.,Diagnostic benchmark evidence only; do not claim generalized validity.,Do not claim robust ODI drift prediction. Do not claim a validated estimator method. Do not claim weak-subspace update authorization. Do not call toy_lio real LIO. Do not claim joint risk is a validated predictor.,results/day30/tables/day19_loso_selection_results.csv,Metric Validity Stress Tests
T04,Day20 controlled partial validity. This item supports diagnostic benchmark interpretation only; Diagnostic benchmark evidence only; do not claim substantive validity if failed.,Diagnostic benchmark evidence only; do not claim substantive validity if failed.,Do not claim robust ODI drift prediction. Do not claim a validated estimator method. Do not claim weak-subspace update authorization. Do not call toy_lio real LIO. Do not claim joint risk is a validated predictor.,results/day30/tables/day20_incremental_validity_summary.csv,Metric Validity Stress Tests
T05,Day21 joint risk comparison. This item supports diagnostic benchmark interpretation only; Diagnostic benchmark evidence only; do not claim validated joint-risk detector.,Diagnostic benchmark evidence only; do not claim validated joint-risk detector.,Do not claim robust ODI drift prediction. Do not claim a validated estimator method. Do not claim weak-subspace update authorization. Do not call toy_lio real LIO. Do not claim joint risk is a validated predictor.,results/day30/tables/day21_joint_risk_comparison.csv,Metric Validity Stress Tests
T06,Day22 gate decision. This item supports diagnostic benchmark interpretation only; Diagnostic benchmark evidence only; do not claim Go method result.,Diagnostic benchmark evidence only; do not claim Go method result.,Do not claim robust ODI drift prediction. Do not claim a validated estimator method. Do not claim weak-subspace update authorization. Do not call toy_lio real LIO. Do not claim joint risk is a validated predictor.,results/day30/tables/day22_gate_decision.csv,Go/No-Go Gate
T07,Claim boundary table for paper writing. This item supports diagnostic benchmark interpretation only; Diagnostic benchmark evidence only; do not claim forbidden claims as conclusions.,Diagnostic benchmark evidence only; do not claim forbidden claims as conclusions.,Do not claim robust ODI drift prediction. Do not claim a validated estimator method. Do not claim weak-subspace update authorization. Do not call toy_lio real LIO. Do not claim joint risk is a validated predictor.,results/day30/tables/day25_claim_boundary_for_paper.csv,Go/No-Go Gate
T08,Reproducibility command table. This item supports diagnostic benchmark interpretation only; Diagnostic benchmark evidence only; do not claim full real-render guarantee from smoke path.,Diagnostic benchmark evidence only; do not claim full real-render guarantee from smoke path.,Do not claim robust ODI drift prediction. Do not claim a validated estimator method. Do not claim weak-subspace update authorization. Do not call toy_lio real LIO. Do not claim joint risk is a validated predictor.,results/day30/tables/day25_reproducibility_plan.csv,Reproducibility Package
F01,Benchmark geometry overview: OC/ST/CT/RT scenes and local tunnel axes. This item supports diagnostic benchmark interpretation only; Diagnostic benchmark evidence only; do not claim real-world coverage.,Diagnostic benchmark evidence only; do not claim real-world coverage.,Do not claim robust ODI drift prediction. Do not claim a validated estimator method. Do not claim weak-subspace update authorization. Do not call toy_lio real LIO. Do not claim joint risk is a validated predictor.,configs/minibench and results/day14 artifacts,Synthetic Degeneracy Benchmark
F03,Legacy vs unbiased toy_lio bias audit. This item supports diagnostic benchmark interpretation only; Diagnostic benchmark evidence only; do not claim real LIO validation.,Diagnostic benchmark evidence only; do not claim real LIO validation.,Do not claim robust ODI drift prediction. Do not claim a validated estimator method. Do not claim weak-subspace update authorization. Do not call toy_lio real LIO. Do not claim joint risk is a validated predictor.,results/day30/tables/day15_bias_audit.csv and day16 summary,Bias Audit
