item_id,item_type,proposed_caption,source_artifact,purpose,must_show,must_not_claim,paper_section,priority
F01,figure,Benchmark geometry overview: OC/ST/CT/RT scenes and local tunnel axes.,configs/minibench and results/day14 artifacts,orient readers to benchmark,scene families and axis definitions,real-world coverage,Synthetic Degeneracy Benchmark,high
F02,figure,Weak-direction alignment examples from whitened information spectra.,results/day14/tables/day09_alignment_summary.csv,show geometry diagnostic signal,ST/CT/RT alignment and OC reliability limits,drift prediction,Whitened Information,high
F03,figure,Legacy vs unbiased toy_lio bias audit.,results/day30/tables/day15_bias_audit.csv and day16 summary,show confound correction,legacy bias and zero applied bias,real LIO validation,Bias Audit,high
T01,table,Day17 unbiased trial summary across sequences.,results/day30/tables/day17_unbiased_probe_summary.csv,summarize multi-trial probe,"n_trials, zero applied bias, exploratory metrics",metric validation,Bias Audit,medium
T02,table,Day18 within-sequence validation results.,results/day30/tables/day18_sequence_validity_summary.csv,show window-level stress test,weak/undefined correlations,robust prediction,Metric Validity Stress Tests,high
T03,table,Day19 grouped / LOSO summary.,results/day30/tables/day19_loso_selection_results.csv,show held-out instability,per-sequence and LOSO results,generalized validity,Metric Validity Stress Tests,high
T04,table,Day20 controlled partial validity.,results/day30/tables/day20_incremental_validity_summary.csv,show incremental validity screen,"effect sizes, expected sign, permutation status",substantive validity if failed,Metric Validity Stress Tests,high
T05,table,Day21 joint risk comparison.,results/day30/tables/day21_joint_risk_comparison.csv,show no joint risk passed gate,with-ODI and no-ODI comparison,validated joint-risk detector,Metric Validity Stress Tests,medium
T06,table,Day22 gate decision.,results/day30/tables/day22_gate_decision.csv,show why method update is blocked,method_update_authorized=false,Go method result,Go/No-Go Gate,high
T07,table,Claim boundary table for paper writing.,results/day30/tables/day25_claim_boundary_for_paper.csv,prevent overclaiming,"allowed, forbidden, diagnostic-only, exploratory-only",forbidden claims as conclusions,Go/No-Go Gate,high
T08,table,Reproducibility command table.,results/day30/tables/day25_reproducibility_plan.csv,make artifact executable,commands and expected outputs,full real-render guarantee from smoke path,Reproducibility Package,high
