section_id,section_title,writing_task,source_evidence,required_figures_tables,allowed_claims,forbidden_claims,priority,owner_note
S01,Introduction,Draft Introduction using the Day25 outline and keep the scope diagnostic.,Day14 decision and Day24 claim map,"T01, F01",do not imply method validation,no estimator-method validation; no weak-subspace update authorization; no robust ODI drift-prediction wording,high,"write as paper skeleton prose, not implementation work"
S02,Related Work,Draft Related Work using the Day25 outline and keep the scope diagnostic.,literature plus internal claim map,none,avoid claiming a new estimator,no estimator-method validation; no weak-subspace update authorization; no robust ODI drift-prediction wording,medium,"write as paper skeleton prose, not implementation work"
S03,Problem Formulation and Diagnostic Objective,Draft Problem Formulation and Diagnostic Objective using the Day25 outline and keep the scope diagnostic.,Day6-9 definitions,"F02, Table P1",diagnostic objective only,no estimator-method validation; no weak-subspace update authorization; no robust ODI drift-prediction wording,medium,"write as paper skeleton prose, not implementation work"
S04,Synthetic Degeneracy Benchmark,Draft Synthetic Degeneracy Benchmark using the Day25 outline and keep the scope diagnostic.,Day14/Day24 artifact inventory,"F01, Table B1",synthetic benchmark only,no estimator-method validation; no weak-subspace update authorization; no robust ODI drift-prediction wording,medium,"write as paper skeleton prose, not implementation work"
S05,Whitened Information and Weak-Direction Diagnostics,Draft Whitened Information and Weak-Direction Diagnostics using the Day25 outline and keep the scope diagnostic.,Day9/Day14 figures and tables,"F02, F03","geometry diagnosis, not drift proof",no estimator-method validation; no weak-subspace update authorization; no robust ODI drift-prediction wording,medium,"write as paper skeleton prose, not implementation work"
S06,Bias Audit and Unbiased Toy Probe,Draft Bias Audit and Unbiased Toy Probe using the Day25 outline and keep the scope diagnostic.,Day15-17 outputs,"F04, Table B2","toy_lio is a probe, not real LIO",no estimator-method validation; no weak-subspace update authorization; no robust ODI drift-prediction wording,medium,"write as paper skeleton prose, not implementation work"
S07,Metric Validity Stress Tests,Draft Metric Validity Stress Tests using the Day25 outline and keep the scope diagnostic.,Day18-21 tables,"F05-F08, Tables V1-V4",negative evidence is informative,no estimator-method validation; no weak-subspace update authorization; no robust ODI drift-prediction wording,high,"write as paper skeleton prose, not implementation work"
S08,Go/No-Go Gate and Claim Boundary,Draft Go/No-Go Gate and Claim Boundary using the Day25 outline and keep the scope diagnostic.,Day22-24 tables,"Table G1, Table C1",No-Go is valid outcome,no estimator-method validation; no weak-subspace update authorization; no robust ODI drift-prediction wording,high,"write as paper skeleton prose, not implementation work"
S09,Discussion and Limitations,Draft Discussion and Limitations using the Day25 outline and keep the scope diagnostic.,Day24 risk register,Table R1,future work must remain gated,no estimator-method validation; no weak-subspace update authorization; no robust ODI drift-prediction wording,medium,"write as paper skeleton prose, not implementation work"
S10,Reproducibility Package,Draft Reproducibility Package using the Day25 outline and keep the scope diagnostic.,Day24 checklist and Day25 plan,Table Rep1,artifact reproducibility with scope limits,no estimator-method validation; no weak-subspace update authorization; no robust ODI drift-prediction wording,medium,"write as paper skeleton prose, not implementation work"
S11,Conclusion,Draft Conclusion using the Day25 outline and keep the scope diagnostic.,Day25 claim boundary,none,no estimator-method conclusion,no estimator-method validation; no weak-subspace update authorization; no robust ODI drift-prediction wording,medium,"write as paper skeleton prose, not implementation work"
