dataset_id,dataset_name,official_source,official_paper,source_checked_date,platform_type,aerial_platform,wheeled_platform,legged_platform,handheld_platform,scene_types,contains_tunnel,contains_underground,contains_long_corridor,contains_repetitive_structure,contains_construction,contains_open_control,contains_smoke_or_dust,contains_dynamic_objects,lidar_available,lidar_model,lidar_scan_type,lidar_frequency,lidar_raw_points_available,per_point_timestamp_available,lidar_data_format,imu_available,imu_model,imu_frequency,raw_gyro_available,raw_accel_available,imu_units_documented,hardware_synchronization,timestamp_documented,lidar_imu_extrinsic_available,sensor_calibration_available,ground_truth_available,ground_truth_type,ground_truth_frequency,ground_truth_accuracy,ground_truth_coverage,ground_truth_limitations,rosbag_available,ros_version,conversion_required,fastlio2_directly_compatible,fastlio2_adapter_difficulty,fastlio2_compatibility_conclusion,download_available,download_method,estimated_size,download_stability,registration_required,license_available,research_use_allowed,redistribution_allowed,publication_citation_required,license_risk,sequence_count,candidate_sequence_names,normal_sequences_available,degenerate_sequences_available,development_suitability,validation_suitability,reserved_test_suitability,open_control_suitability,uav_generalization_suitability,evidence_quality,feasibility_status,recommended_role,rejection_reason,notes,score_degenerate_relevance,score_lidar_completeness,score_imu_completeness,score_time_sync,score_extrinsics_calibration,score_ground_truth,score_fastlio2_compatibility,score_open_control_value,score_download_availability,score_license_clarity,score_sequence_count,score_cross_platform_sensor_value,score_total,score_comment
subt_mrs,SubT-MRS,https://sairlab.org/subtmrs/,https://openaccess.thecvf.com/content/CVPR2024/html/Zhao_SubT-MRS_Dataset_Pushing_SLAM_Towards_All-weather_Environments_CVPR_2024_paper.html,2026-07-15,"aerial; wheeled; legged; handheld",true,true,true,true,"tunnel; cave; underground; long corridor; multi-floor; smoke; dust; fog; snow; outdoor",true,true,true,true,false,true,true,false,true,"platform-dependent 3D LiDAR; exact models vary by sequence",mixed,"not uniformly tabulated by official release",true,UNKNOWN,"ROS1 bag and LAS with per-scan timestamp files",true,"platform-dependent IMU",UNKNOWN,true,true,PARTIAL,true,true,true,true,true,"official trajectory and ground-truth maps",UNKNOWN,"high-precision maps/accurately measured trajectories; numeric accuracy not uniform","partial: sequence dependent",ground-truth generation and coverage vary by scene,true,ROS1,yes,false,HIGH,MAJOR_ADAPTER,true,"official Google Drive and Baidu links",">2000 hours overall; selected fusion-track package sizes not tabulated",MEDIUM,false,false,UNKNOWN,UNKNOWN,true,HIGH,">30 scenes; 7 fusion-track sequences listed","Long_Corridor; Multi_Floor; BlockLiDAR; Campus_Outdoor",true,true,2,2,1,1,2,HIGH,LIMITED_USE,PRIMARY_DEGENERATE,"dataset license not stated on audited official pages; point schema and units require sample inspection","Best tunnel/underground relevance. Clarify data license before acquisition; do not assume every SubT-MRS sequence has LiDAR plus full GT.",2,2,2,2,2,2,1,1,2,0,2,2,20,"Top technical relevance; license and per-sequence schema prevent VERIFIED_USABLE."
hilti_2021,Hilti SLAM Challenge Dataset 2021,https://www.hilti-challenge.com/dataset-2021,https://arxiv.org/abs/2109.11316,2026-07-15,handheld,false,false,false,true,"office; lab; basement; parking deck; construction; campus",false,true,true,true,true,true,false,true,true,"Ouster OS0-64; Livox MID70",spinning_and_nonrepetitive,"not tabulated on official page",true,"UNKNOWN on PointCloud2; Livox CustomMsg carries driver-specific timing",ROS1 bag,true,"ADIS16445 plus sensor-integrated IMUs",UNKNOWN,true,true,PARTIAL,true,true,true,true,true,"total-station stationary control points and OptiTrack 6DoF",sparse,"better than 5 mm at control measurements","partial: 3DoF sparse for most sequences; 6DoF only RPG arena and Lab",not a continuous full-trajectory reference for most construction sequences,true,ROS1,yes,false,HIGH,MAJOR_ADAPTER,true,direct S3 links,"about 181 GB across listed bags",HIGH,false,true,true,true,true,LOW,12,"Basement; Basement 3; Basement 4; Construction Site Outdoor 1; Construction Site Outdoor 2; Parking Deck",true,true,2,2,1,1,0,HIGH,USABLE_WITH_ADAPTER,SECONDARY_DEGENERATE,"","Strong construction complement. Sparse GT supports checkpoint error but not full-coverage ATE for most sequences.",2,2,2,2,2,1,1,1,2,2,2,1,20,"Excellent calibration and construction evidence; GT coverage limits trajectory metrics."
newer_college_original,Newer College Dataset Original,https://ori-drs.github.io/newer-college-dataset/stereo-cam/,https://arxiv.org/abs/2003.05691,2026-07-15,handheld,false,false,false,true,"college quad; parkland; built environment; stairs; aggressive motion",false,false,false,true,false,true,false,true,true,"Ouster OS1-64 Gen1",spinning,10 Hz,true,"UNKNOWN in processed PointCloud2; raw lidar packets are provided","ROS1 bag; raw packets; PCD; CSV",true,"Ouster ICM-20948; RealSense BMI055",100 Hz Ouster; 250 Hz accel; 400 Hz gyro,true,true,PARTIAL,false,true,true,true,true,"survey-map registration 6DoF poses",10 Hz,"centimetre-accurate trajectory; millimetre-accurate reference map","full: motion pose for each LiDAR scan on principal sequences",June 2020 aggressive sequences originally noted as awaiting GT; verify selected file revision,true,ROS1,yes,false,HIGH,MAJOR_ADAPTER,true,official request form,"not tabulated on official download page",MEDIUM,true,true,true,true,true,LOW,5,"short_experiment; long_experiment; quad_with_dynamics; dynamic_spinning; parkland_mound",true,true,2,2,1,2,0,HIGH,USABLE_WITH_ADAPTER,OPEN_CONTROL,"","Good open control and aggressive-motion contrast. Original visual/IMU measurements are software synchronized.",1,2,2,1,2,2,1,2,2,2,1,1,19,"Useful control source; processed point schema must be inspected before FAST-LIO2 replay."
newer_college_multicam,Newer College Multi-Camera LiDAR-Inertial Extension,https://ori-drs.github.io/newer-college-dataset/multi-cam/,https://arxiv.org/abs/2112.08854,2026-07-15,handheld,false,false,false,true,"quad; cloister corridor; narrow stairs; park; open maths institute; aggressive motion",false,false,true,true,false,true,false,true,true,"Ouster OS0-128",spinning,10 Hz,true,"UNKNOWN in processed PointCloud2; raw lidar packets are provided",ROS1 bag,true,"Alphasense IMU; Ouster ICM-20948",200 Hz Alphasense; 100 Hz Ouster,true,true,PARTIAL,true,true,true,true,true,"survey-map registration 6DoF poses",10 Hz,centimetre-accurate,"full: all nine extension sequences",survey-map registration rather than independent motion-capture,true,ROS1,yes,false,HIGH,MAJOR_ADAPTER,true,official request form,"not tabulated on official download page",MEDIUM,true,true,true,true,true,LOW,9,"Stairs; Cloister; Park; Quad-Easy; Quad-Medium; Quad-Hard; Maths-Easy; Maths-Medium; Maths-Hard",true,true,2,2,2,2,0,HIGH,USABLE_WITH_ADAPTER,OPEN_CONTROL,"","Hardware-synchronized extension provides paired normal/difficult sequences; keep same-location families in one split group.",2,2,2,2,2,2,1,2,2,2,2,1,22,"Best handheld control/degeneration pairing; PointCloud2 timing schema still requires a small probe."
ntu_viral,NTU VIRAL,https://ntu-aris.github.io/ntu_viral_dataset/,https://doi.org/10.1177/02783649211052312,2026-07-15,aerial,true,false,false,false,"indoor auditorium; indoor plaza; outdoor carpark; facade; open square",false,false,true,true,false,true,false,true,true,"two Ouster OS1-16 Gen1",spinning,10 Hz,true,true,ROS1 PointCloud2,true,"VectorNav VN-100 plus two Ouster IMUs",385 Hz VN-100; 100 Hz Ouster,true,true,PARTIAL,true,true,true,true,true,"Leica MS60 laser-tracker prism position",20 Hz,"high-accuracy laser tracker; numeric accuracy not stated on official page","full: position reference throughout released sequences",no orientation ground truth; 0.4 m IMU-to-prism offset must be applied,true,ROS1,yes,false,MEDIUM,MINOR_ADAPTER,true,"NTU Data Repository with official OneDrive mirror","18 sequences; about 4.0-9.4 GB each",MEDIUM,false,true,true,true,true,LOW,18,"tnp_01; tnp_02; tnp_03; eee_01; sbs_01; rtp_01",true,true,2,2,1,2,2,HIGH,USABLE_WITH_ADAPTER,UAV_GENERALIZATION,"","PointCloud2 explicitly includes t and ring. Officially documented Ouster/IMU jitter requires regularization before deterministic replay.",1,2,2,1,2,1,2,2,2,2,2,2,21,"Strong UAV source with explicit point fields; position-only GT and timestamp jitter are material limits."
m2dgr,M2DGR,https://github.com/SJTU-ViSYS/M2DGR,https://arxiv.org/abs/2112.13659,2026-07-15,wheeled,false,true,false,false,"street; gate; hall; lift; room; dark room; repetitive indoor",false,false,true,true,false,true,false,true,true,"Velodyne VLP-32C",spinning,10 Hz,true,UNKNOWN,ROS1 PointCloud2,true,"Handsfree A9; RealSense D435i IMU; Xsens MTi-680G",150 Hz; 200 Hz; 100 Hz,true,true,PARTIAL,true,true,true,true,true,"RTK/INS; Leica MS60; Vicon motion capture",scenario dependent,"2 cm RTK; Leica 1 mm+1.5 ppm; Vicon 1 mm","full: official repo now states all 36 sequences have GT",GT source changes by scenario and lift coverage uses Leica outside lift,true,ROS1,yes,false,HIGH,MAJOR_ADAPTER,true,official OneDrive links,1220.6 GB total,LOW,false,true,true,true,true,LOW,36,"hall_02; hall_05; lift_01; room_01; room_dark_01; street_02; street_09",true,true,2,2,1,2,0,HIGH,USABLE_WITH_ADAPTER,OPEN_CONTROL,"","Large and varied; official download host warns of instability. Per-point timing and exact LiDAR-IMU transform direction need sample inspection.",1,2,2,2,2,2,1,2,1,2,2,2,21,"Excellent scene/GT breadth but heavy download and undocumented point schema increase adaptation cost."
mulran,MulRan,https://sites.google.com/view/mulran-pr/home,https://gisbi-kim.github.io/publications/gkim-2020-icra.pdf,2026-07-15,wheeled,false,true,false,false,"urban road; campus; riverside; parking; long-term revisits",false,false,true,true,false,true,false,true,true,"Ouster OS1-64",spinning,10 Hz,true,false,"KITTI-style .bin plus timestamp CSV",true,"Xsens IMU; exact model referenced through official Complex Urban calibration source",UNKNOWN,true,true,PARTIAL,PARTIAL,true,PARTIAL,true,true,"6DoF baseline trajectory",UNKNOWN,"official baseline; numeric accuracy not stated on dataset page","full: all sequences",baseline generation and IMU/LiDAR time/extrinsic conventions require source-paper confirmation,false,NONE,yes,false,HIGH,MAJOR_ADAPTER,true,request form; small parking sample direct link,"full sequences multi-GB; small LiDAR-only sample 0.6 GB zipped",MEDIUM,true,true,true,true,true,LOW,12,"DCC01; KAIST01; Riverside01; Riverside03; Sejong01",true,false,1,2,1,2,0,HIGH,USABLE_WITH_ADAPTER,OPEN_CONTROL,"","Official player publishes ring and references equivalent IMU extrinsics, but raw KITTI-style scans lack documented per-point timing. Small sample omits IMU/GPS and cannot validate LIO.",1,2,2,1,1,2,1,2,1,2,2,1,18,"Good normal urban control and long-term repeats; requires deterministic file-to-bag conversion."
helipr,HeLiPR,https://sites.google.com/view/heliprdataset,https://doi.org/10.1177/02783649241242136,2026-07-15,wheeled,false,true,false,false,"urban; narrow alleys; bridge; roundabout; dynamic traffic; repeated routes",false,false,true,true,false,true,false,true,true,"Ouster OS2-128; Velodyne VLP-16; Livox Avia; Aeva Aeries II","spinning; non-repetitive; FMCW",10 Hz,true,UNKNOWN,"sensor-specific .bin plus stamp.csv",true,"Xsens MTi-300",100 Hz,true,true,PARTIAL,false,true,true,true,true,"SPAN-CPT7 INS-derived per-LiDAR 6DoF",per LiDAR timestamp,"INS-derived; numeric global accuracy not stated","full: individual reference for each LiDAR and scan timestamp",interpolated from INS; sequence04 in KAIST/DCC/Riverside groups lacks IMU,true,ROS1 calibration bags only,yes,false,HIGH,MAJOR_ADAPTER,true,request form; one-minute sample available,"sample about 1.71 GB zipped across four LiDARs; full corpus hundreds of GB",MEDIUM,true,true,true,true,true,LOW,19,"Roundabout01; Town02; Bridge02; KAIST05; DCC05; Riverside05",true,false,1,2,1,2,0,HIGH,USABLE_WITH_ADAPTER,SENSOR_GENERALIZATION,"","Valuable heterogeneous-sensor stress test. Main release is files, not bags; asynchronous LiDARs and per-sensor parsers require a major adapter.",1,2,2,1,2,2,1,2,1,2,2,2,20,"High cross-LiDAR value; not a first-line FAST-LIO2 source."
tiers_enhanced,TIERS Multi-Modal LiDAR Dataset Enhanced,https://github.com/TIERS/tiers-lidars-dataset-enhanced,https://arxiv.org/abs/2210.00812,2026-07-15,wheeled,false,true,false,false,"indoor office; corridor; hall; open road; forest",false,false,true,true,false,true,false,false,true,"Ouster OS0; Ouster OS1; Velodyne VLP-16; Livox Horizon; Livox Avia","spinning and non-repetitive",mixed; exact rates not fully tabulated in text,true,"Livox CustomMsg supports driver timing; Ouster PointCloud2 fields require sample confirmation",ROS1 bag,true,"built-in Ouster and Livox IMUs",UNKNOWN,true,true,PARTIAL,PARTIAL,true,PARTIAL,true,true,"SLAM+ICP; GNSS/RTK; MOCAP",sequence dependent,"official method claims higher than GNSS/RTK for mapped indoor; numeric table requires paper","full: GT provided for all nine main sequences",indoor GT partly generated by SLAM-assisted ICP rather than independent external tracker,true,"ROS Kinetic/Melodic",yes,false,HIGH,MAJOR_ADAPTER,true,University of Turku SharePoint links,"19.7-79.5 GB per sequence",MEDIUM,false,true,true,true,true,LOW,9,"Indoor09; Indoor10; Indoor11; Road3; Forest01",true,true,2,2,1,2,0,HIGH,USABLE_WITH_ADAPTER,SENSOR_GENERALIZATION,"","Indoor09/10 are corridor candidates; Road3 is an independent open control. Frame IDs and LiDAR-IMU transform direction require verification.",2,2,2,1,1,2,1,2,2,2,2,2,21,"Strong sensor diversity and corridor scenes; GT provenance must be reported per sequence."
mun_frl,MUN-FRL,https://mun-frl-vil-dataset.readthedocs.io/en/latest/,https://doi.org/10.1177/02783649241238358,2026-07-15,aerial,true,false,false,false,"quarry; lighthouse; airport; highway; urban; prairie; waterfront; runway",false,false,true,true,false,true,false,true,true,"Velodyne VLP-16 downward-facing",spinning,10 Hz,true,"hardware scan time documented; PointCloud2 field-level offsets still need sample inspection",ROS1 bag,true,"Xsens MTi-30",400 Hz,true,true,true,true,true,true,true,true,"PPK RTK-GNSS position and PPK-aided 6DoF INS",5 Hz position; synced 6DoF topic,"centimetre-level; official paper reports PPK quality checks","full: all nine sequences",PPK-aided 6DoF is not an independent indoor reference and Bell412 structureless terrain can lack useful LiDAR returns,true,ROS1,yes,false,MEDIUM,MINOR_ADAPTER,true,direct Google Drive links; official benchmarking bags,"3.55-6.00 GB benchmarking bags; full sequences 27.2-89.9 GB",HIGH,false,true,true,true,true,LOW,9,"lighthouse; quarry1; quarry2; bell412_dataset1; bell412_dataset6",true,true,2,2,2,2,2,HIGH,VERIFIED_USABLE,UAV_GENERALIZATION,"","Official launch files and published FAST-LIO2 evaluation exist. Use synced bag and verify topic/point fields; Bell412 failures are useful only after the DJI adapter path is validated.",1,2,2,2,2,2,2,2,2,2,2,2,23,"Best first small download: clear license, sync, calibration, GT and 3.55 GB benchmark bag."
