detector_role,file_relpath,symbol,line_start,line_end,source_sha256,input_or_output,shape_or_type,state_order,coordinate_frame,units,required_for_day3,confidence,notes
"production_entrypoint","src/degen_detector/odi_tracker.py","compute_metrics_for_frame","64","205","c515e5321e569ed074ae1c4f33563e73a82775800f20197612c2816086676d17","INPUT_OUTPUT","J [N,6], R_diag [N], config dict, optional axis; metrics dict","[delta_theta_x,delta_theta_y,delta_theta_z,delta_p_x,delta_p_y,delta_p_z]","caller-supplied tangent coordinates","mixed Jacobian units and variances","true","CONFIRMED","Unique production per-frame detector entrypoint. compute_metrics_for_sequence is a batch adapter that loops over this function."
"batch_adapter","src/degen_detector/odi_tracker.py","compute_metrics_for_sequence","208","347","c515e5321e569ed074ae1c4f33563e73a82775800f20197612c2816086676d17","INPUT_OUTPUT","packed_J [T,N,6], R_diag_list [T,N], timestamps [T]; structured array","same per-frame state order","same as supplied J","seconds plus detector metrics","false","CONFIRMED","Offline sequence wrapper, not a second detector implementation; calls compute_metrics_for_frame once per frame."
"jacobian_shape_and_order","src/degen_detector/whitened_info.py","compute_H_tilde input validation and D","10","31","9ef2727392e86f331d81bf172beb19e57ff81eac60f42d84c2718ce914a6d722","INPUT","J float array [N,6]","rotation first, translation second","caller-supplied tangent coordinates","columns scaled by radians/meters reference scales","true","CONFIRMED","Shape validation and D=diag(s_theta three times,s_p three times) prove the required order."
"measurement_variance","src/degen_detector/whitened_info.py","compute_H_tilde R_diag validation and whitening","20","32","9ef2727392e86f331d81bf172beb19e57ff81eac60f42d84c2718ce914a6d722","INPUT","R_diag float array [N] strictly positive","row-aligned with J","measurement residual space","residual units squared","true","CONFIRMED","H=(JD)^T R^-1 (JD); Day 3 must supply variance 0.001, not standard deviation, inverse variance, or the FAST-LIO2 selection score."
"rotation_translation_scale","src/degen_detector/whitened_info.py","D scale matrix","29","31","9ef2727392e86f331d81bf172beb19e57ff81eac60f42d84c2718ce914a6d722","INPUT","s_theta scalar and s_p scalar","rotation first, translation second","tangent-coordinate normalization","reference radians and meters","true","CONFIRMED","Scales are detector configuration inputs and are not inferred from FAST-LIO2."
"pose_information","src/degen_detector/whitened_info.py","compute_H_tilde","10","37","9ef2727392e86f331d81bf172beb19e57ff81eac60f42d84c2718ce914a6d722","OUTPUT","H_tilde [6,6] symmetric PSD candidate","rotation first, translation second","scaled tangent coordinates","information","true","CONFIRMED","Residual values themselves are not required by the current production detector; only J and R_diag enter H_tilde."
"translation_schur_information","src/degen_detector/whitened_info.py","compute_translation_schur_info","85","111","9ef2727392e86f331d81bf172beb19e57ff81eac60f42d84c2718ce914a6d722","INPUT_OUTPUT","H_tilde [6,6] to translation information [3,3]","marginalizes indices 0:2; retains indices 3:5","translation coordinates inherited from J","information","true","CONFIRMED","Uses H_p-H_p_theta(H_theta+damping I)^-1H_theta_p and clips only small numerical negative eigenvalues."
"ODI","src/degen_detector/odi_tracker.py","compute_ODI","34","49","c515e5321e569ed074ae1c4f33563e73a82775800f20197612c2816086676d17","INPUT_OUTPUT","eigenvalues [3] or [6] to scalar","spectrum order independent","information spectrum","dimensionless","true","CONFIRMED","ODI is one minus normalized effective rank and is clipped to [0,1]."
"weak_direction","src/degen_detector/weak_direction.py","estimate_primary_direction and translation_component","26","101","51f377ac8122e76e06bed06344d26c74a7b82331d8361f6d37103d5371a8cf20","INPUT_OUTPUT","eigensystem to primary direction; 6-vector to translation 3-vector","translation component is indices 3:5","scaled tangent coordinates","dimensionless direction","true","CONFIRMED","Minimum-eigenvalue eigenvector has canonical sign; translation extraction proves rotation-first state order."
"eigengap_and_stability","src/degen_detector/weak_direction.py","estimate_primary_direction","26","52","51f377ac8122e76e06bed06344d26c74a7b82331d8361f6d37103d5371a8cf20","INPUT_OUTPUT","eigenvalues/eigenvectors to ratios and bool","minimum direction","information spectrum","dimensionless","true","CONFIRMED","direction_stable is based on the normalized gap from smallest to next eigenvalue."
"weak_subspace","src/degen_detector/weak_direction.py","estimate_weak_subspace and extract_weak_subspace","55","80","51f377ac8122e76e06bed06344d26c74a7b82331d8361f6d37103d5371a8cf20","INPUT_OUTPUT","eigensystem to optional projector and dimension","native eigenspace order","scaled tangent coordinates","dimensionless","true","CONFIRMED","Thresholds eigenvalue/max-eigenvalue and returns an explicit empty subspace when not triggered."
"nonfinite_handling","src/degen_detector/whitened_info.py","validate_H and compute_effective_sample_size","67","121","9ef2727392e86f331d81bf172beb19e57ff81eac60f42d84c2718ce914a6d722","INPUT","finite symmetric PSD matrices and finite positive variances","rotation first, translation second when 6x6","detector tangent coordinates","information and variance","true","CONFIRMED","Rejects NaN/Inf H, non-PSD matrices beyond tolerance, and non-finite or non-positive variances."
"output_structure","src/degen_detector/odi_tracker.py","metrics dict","136","205","c515e5321e569ed074ae1c4f33563e73a82775800f20197612c2816086676d17","OUTPUT","Dict[str,float]","pose and translation diagnostics","scaled tangent coordinates","mixed dimensionless/information metrics","true","CONFIRMED","Includes ODI, Schur translation metrics, weak direction, eigengap, trigger state, and projectors."
"no_gt_interface","tests/test_detector_no_gt_dependency.py","test_runtime_detector_outputs_do_not_depend_on_gt_axis_or_pose","13","47","59c00074a32856d6941a0a935854f4e7257d8bacea7f981c29e206c3190b1cb3","TEST","observations with and without pose_gt/axis_per_frame","same detector order","axis is optional diagnostic only","N/A","true","CONFIRMED","Core detector outputs remain identical without GT pose or axis. Missing axis only makes axis-alignment diagnostics NaN."
