check_id,check_item,status,blocking,required_action,reason
R01,README scope is correct,pass,true,ensure README states diagnostic benchmark / failure-analysis scope,README must define the package boundary
R02,reproduction commands are complete,pass,true,verify README/release docs list the required command chain,commands must be visible to reviewers
R03,Day14-Day30 manifests are complete,pass,true,restore or regenerate missing manifests,provenance is required
R04,full pytest confirmed locally,manual_required,true,run python3 -m pytest -q immediately before packaging,the Day30 script cannot prove the external pytest run by itself
R05,F01/F03 are real figures,pass,true,regenerate Day29 safe figures from source artifacts,fake or placeholder figures are forbidden
R06,generated tables exist,pass,true,regenerate Day28/29 table artifacts,paper tables are core deliverables
R07,table interpretation notes exist,pass,true,confirm T03/T05 notes are included,valid statuses can otherwise be overread
R08,forbidden claims appear only as boundary text,pass,true,revise positive forbidden claims,overclaiming is a blocking risk
R09,.git is excluded,manual_required,true,use git archive or rsync --exclude .git,checkout may contain .git but release archive must not
R10,.pytest_cache is excluded,manual_required,true,use archive excludes for .pytest_cache,cache is not evidence
R11,__pycache__ is excluded,manual_required,true,use archive excludes for __pycache__,bytecode cache is not evidence
R12,raw trajectories policy is explicit,manual_required,false,confirm generated raw files are rebuilt by scripts or explicitly packaged,raw trajectory volume can vary
R13,smoke vs real plot distinction is documented,pass,true,keep smoke/real plotting distinction in README/release docs,prevents reproduction ambiguity
R14,final release archive is dry-run only,manual_required,true,perform manual clean archive dry-run before publishing,Day30 should not auto-delete or package caches
