path_or_pattern,policy,include_in_release,reason
src/,include source code,true,core executable modules
configs/,include configs,true,reproducible protocols and validation settings
scripts/,include scripts,true,reproduction and analysis entry points
tests/,include tests,true,artifact quality and scope guardrails
docs/paper/,include paper planning docs,true,paper skeleton and figure/table plans
docs/release/,include release docs,true,"release scope, cleanup policy, and commands"
reports/,include curated reports,true,human-readable evidence summaries
results/day30/tables/,include selected key CSV tables,true,Day15-Day27 evidence tables
results/day30/manifests/,include selected manifests,true,provenance and status tracking
results/day14/manifests/,include required Day14 manifests,true,reproduction provenance
results/day14/figures/,document smoke vs real figures,true,figures are useful but must record smoke/real mode
results/day14/raw/*.tum,rebuild or explicitly document if packaged,false,raw trajectories are generated artifacts
.git,exclude,false,repository internals do not belong in release archive
.pytest_cache,exclude,false,test cache is not evidence
__pycache__,exclude,false,bytecode cache is not evidence
