check_id,release_item,status,required_action,blocking,reason
K01,README explains diagnostic benchmark scope,pending,"Add scope, No-Go method gate, and allowed/forbidden claims to README.",true,prevents method overclaiming
K02,reproduction commands are complete,partial,"List check_env, pytest, reproduce_day14, Day15-24 scripts.",true,reviewers need exact commands
K03,Day 14-24 manifests are complete,pass,Keep manifests committed or generated by scripts.,true,traceability requirement
K04,results/day30 key CSV can be rebuilt,pass,Maintain Day15-24 script chain and configs.,true,diagnostic evidence is table-driven
K05,forbidden claims documented,pass,Use Day22 and Day24 claim maps in writing.,true,guards against unsupported claims
K06,no method update is explicit,pass,Keep method_update_authorized=false in manifests and report.,true,Day22/23/24 route constraint
K07,raw trajectories commit policy decided,pending,Document whether raw trajectories are generated or packaged.,false,large generated artifacts may be excluded
K08,full pytest passes locally,pass,Run python3 -m pytest -q before release.,true,baseline quality gate
K09,exclude .git from final package,pending,Package release archive without .git unless explicitly sharing repository history.,true,avoid leaking repository internals
K10,exclude __pycache__ from final package,pass,Keep __pycache__ ignored and absent from release archive.,true,clean package hygiene
K11,exclude .pytest_cache from final package,pass,Keep .pytest_cache ignored and absent from release archive.,true,clean package hygiene
