feature_name,target_name,scope,sequence_id,scene_family,spearman_rho,abs_spearman_rho,n_samples,expected_sign,observed_sign,expected_sign_match,effect_size_threshold,passes_effect_size,validity_status,interpretation
risk_ODI,axis_drift_rate,merged,ALL,ALL,0.0718254691821,0.0718254691821,3440,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_ODI,axis_drift_rate,within_sequence,CT-L2-S01-M2,CT,0.0215333604313,0.0215333604313,820,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_ODI,axis_drift_rate,within_sequence,OC-L0-S01-M1,OC,-0.227916791073,0.227916791073,740,positive,negative,false,0.1,true,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_ODI,axis_drift_rate,within_sequence,RT-L4-S01-M1,RT,-0.061451576363,0.061451576363,980,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_ODI,axis_drift_rate,within_sequence,ST-L3-S01-M1,ST,-0.0878434540112,0.0878434540112,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_AIS,axis_drift_rate,merged,ALL,ALL,0.090292571648,0.090292571648,3440,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_AIS,axis_drift_rate,within_sequence,CT-L2-S01-M2,CT,0.0199496458027,0.0199496458027,820,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_AIS,axis_drift_rate,within_sequence,OC-L0-S01-M1,OC,-0.172531392814,0.172531392814,740,positive,negative,false,0.1,true,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_AIS,axis_drift_rate,within_sequence,RT-L4-S01-M1,RT,-0.0434276654697,0.0434276654697,980,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
risk_low_AIS,axis_drift_rate,within_sequence,ST-L3-S01-M1,ST,-0.0399336541898,0.0399336541898,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,small rho or expected-sign mismatch; not substantive evidence
